avg_len_man,crashes,n_RtI,n_emergency,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.2727272727272725,0,20,0,0.06934673366834171,0.5918367346938775,52,12,1,253,0.3719597989949749
5.65,1,32,2,0.1135678391959799,0.5362318840579711,85,13,3,257,0.2543718592964824
8.0,1,14,0,0.08040201005025126,0.7307692307692307,66,12,1,302,0.275778894472362
7.818181818181818,1,15,0,0.0864321608040201,0.375,26,12,2,233,0.26472361809045236
6.5,2,26,1,0.11658291457286432,0.543859649122807,65,12,1,226,0.1764824120603016
6.2631578947368425,1,33,0,0.11959798994974874,0.5657894736842105,81,11,2,274,0.26733668341708555
8.0,2,18,1,0.0964824120603015,0.6727272727272727,60,18,2,221,0.16412060301507553
5.315789473684211,3,32,3,0.10150753768844221,0.5733333333333334,75,18,2,292,0.06572864321608057
5.823529411764706,1,27,0,0.09949748743718594,0.509090909090909,55,11,3,277,0.2572864321608041
3.4,1,11,4,0.017085427135678392,0.6666666666666666,30,17,0,280,0.28170854271356793
6.769230769230769,0,19,1,0.08844221105527639,0.5,44,25,1,265,0.3756783919597991
6.9,1,17,1,0.06934673366834171,0.7258064516129032,70,21,1,218,0.2726633165829146
7.4,0,26,1,0.11155778894472362,0.559322033898305,72,27,2,245,0.3610050251256282
6.333333333333333,1,20,0,0.0763819095477387,0.5238095238095238,42,12,0,263,0.28542713567839206
7.769230769230769,1,21,2,0.10150753768844221,0.6111111111111112,56,12,0,270,0.28773869346733677
6.1,0,28,11,0.061306532663316586,0.3488372093023256,36,31,1,263,0.3684422110552764
5.888888888888889,2,16,2,0.053266331658291456,0.4666666666666667,27,18,2,198,0.16000000000000014
6.117647058823529,4,25,1,0.10452261306532663,0.5967741935483871,77,38,1,304,-0.025125628140703262
6.777777777777778,0,14,2,0.061306532663316586,0.6216216216216216,38,20,0,228,0.3818090452261307
6.181818181818182,1,30,0,0.135678391959799,0.5522388059701493,97,13,1,187,0.27045226130653266
7.285714285714286,2,25,1,0.10251256281407035,0.5967741935483871,63,14,2,249,0.1626130653266333
5.9411764705882355,1,28,1,0.10150753768844221,0.5483870967741935,71,13,1,240,0.27899497487437197
5.538461538461538,0,19,1,0.07135678391959799,0.4722222222222222,36,19,0,225,0.38080402010050257
6.529411764705882,3,23,2,0.11055276381909548,0.5818181818181818,73,12,5,269,0.03778894472361824
6.869565217391305,4,34,0,0.15879396984924624,0.5405405405405406,80,15,2,251,-0.028643216080401837
5.052631578947368,0,32,1,0.0964824120603015,0.4482758620689655,61,30,1,262,0.372462311557789
6.95,1,25,0,0.13969849246231156,0.576271186440678,65,11,3,267,0.2608040201005025
7.25,2,7,0,0.02914572864321608,0.36363636363636365,11,14,0,288,0.17979899497487453
7.0625,1,23,1,0.1135678391959799,0.6515151515151515,72,21,1,225,0.2755778894472363
6.2272727272727275,2,37,1,0.13768844221105528,0.4714285714285714,81,28,6,251,0.11809045226130661
5.0,0,19,1,0.06030150753768844,0.5777777777777777,43,19,0,274,0.38542713567839204
