avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_rock,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
8.533333333333333,1,28,0,0,0.1,0.12864321608040202,0.5087719298245614,57,38,1,175,0.268140703517588
5.349593495934959,26,286,46,0,0.2,0.6603015075376885,0.13595166163141995,50,981,7,152,-2.2838190954773867
7.1313131313131315,41,237,24,0,0.3,0.7085427135678392,0.17993079584775087,44,995,3,80,-3.792060301507538
7.442105263157894,43,231,8,0,0.4,0.7095477386934673,0.19791666666666666,58,995,8,55,-4.061507537688443
8.679487179487179,56,138,3,0,0.5,0.6793969849246231,0.5660377358490566,28,995,4,28,-5.343718592964824
9.520833333333334,32,62,0,0,0.6,0.45829145728643217,0.8847583643122676,66,995,4,1,-2.963115577889447
6.0,2,27,5,1,0.1,0.08341708542713568,0.47058823529411764,39,43,0,201,0.17195979899497493
6.566037735849057,26,237,28,1,0.2,0.6984924623115578,0.20735785953177258,89,995,12,114,-2.3467336683417086
7.25,50,232,11,1,0.3,0.7276381909547739,0.14074074074074075,42,994,4,67,-4.6941708542713565
6.95,43,236,14,1,0.4,0.6964824120603015,0.2159468438538206,58,995,4,61,-4.016482412060302
8.5625,57,182,6,1,0.5,0.6884422110552764,0.4110032362459547,44,995,4,27,-5.438994974874372
9.415094339622641,32,63,0,1,0.6,0.5005025125628141,0.8729838709677419,49,995,1,8,-2.928743718592964
9.0,1,34,0,2,0.1,0.1899497487437186,0.4925373134328358,88,18,1,148,0.26582914572864325
6.04424778761062,34,260,30,2,0.2,0.685427135678392,0.16666666666666666,70,995,8,123,-3.1088442211055267
7.257731958762887,38,234,22,2,0.3,0.7065326633165829,0.1958762886597938,77,995,5,86,-3.5008040201005026
7.9021739130434785,43,222,10,2,0.4,0.7296482412060301,0.17164179104477612,15,995,5,57,-4.0201005025125625
7.845238095238095,44,164,3,2,0.5,0.6613065326633166,0.5119047619047619,39,995,3,34,-4.124924623115578
8.807692307692308,26,61,0,2,0.6,0.4592964824120603,0.8864059590316573,42,995,0,6,-2.321105527638191
7.947368421052632,5,30,0,3,0.1,0.15175879396984926,0.4339622641509434,61,19,4,193,-0.16110552763819072
5.223140495867769,26,275,45,3,0.2,0.6321608040201006,0.15902140672782875,61,929,7,168,-2.286231155778894
7.206185567010309,47,229,14,3,0.3,0.7015075376884422,0.22635135135135134,57,995,5,64,-4.40894472361809
7.836956521739131,42,224,6,3,0.4,0.7226130653266332,0.18545454545454546,52,995,7,35,-3.9566834170854266
8.254237288135593,41,83,0,3,0.5,0.4884422110552764,0.8366141732283464,55,995,4,13,-3.849346733668342
9.407407407407407,39,75,0,3,0.6,0.5095477386934674,0.8459958932238193,18,995,2,3,-3.640603015075377
5.105263157894737,0,33,3,4,0.1,0.0964824120603015,0.5074626865671642,64,44,4,221,0.3351758793969849
5.592920353982301,27,300,55,4,0.2,0.6321608040201006,0.16201117318435754,52,984,3,155,-2.362613065326633
7.0495049504950495,44,230,18,4,0.3,0.7155778894472362,0.18439716312056736,8,995,7,94,-4.131055276381909
7.782608695652174,43,226,17,4,0.4,0.7185929648241206,0.18996415770609318,52,995,2,57,-3.9932663316582913
8.112359550561798,48,196,10,4,0.5,0.7246231155778895,0.28205128205128205,26,995,1,48,-4.504824120603015
9.24,39,61,0,4,0.6,0.46331658291457284,0.8855534709193246,33,995,0,9,-3.630050251256281
5.2,2,10,0,5,0.1,0.02613065326633166,0.2857142857142857,15,38,0,183,0.16793969849246246
5.224,33,284,39,5,0.2,0.6552763819095477,0.1695906432748538,67,987,4,167,-2.9613065326633166
6.373831775700935,34,264,29,5,0.3,0.6844221105527638,0.15654952076677317,44,995,4,105,-3.0879396984924625
7.945054945054945,53,223,11,5,0.4,0.7256281407035176,0.1801470588235294,19,995,8,49,-5.071055276381911
9.202898550724637,39,121,1,5,0.5,0.6381909547738693,0.6629526462395543,77,995,6,22,-3.6623115577889447
9.26923076923077,29,62,0,5,0.6,0.4834170854271357,0.8791423001949318,30,995,2,7,-2.6334673366834167
5.5,7,83,16,6,0.1,0.2100502512562814,0.15306122448979592,30,202,3,205,-0.3548743718592963
6.226415094339623,27,252,36,6,0.2,0.6633165829145728,0.14864864864864866,50,940,3,143,-2.356281407035176
6.901960784313726,34,235,13,6,0.3,0.7065326633165829,0.19243986254295534,83,995,8,82,-3.1273366834170857
7.6947368421052635,51,217,13,6,0.4,0.7336683417085427,0.17803030303030304,33,995,4,63,-4.82251256281407
8.297619047619047,53,184,3,6,0.5,0.6984924623115578,0.38461538461538464,99,995,4,33,-5.0357788944723625
